"","Ensbl","chr","DMRstart","DMRend","chrom","gene_start","gene_end","distance_relhg38","label","hgnc_symbol","entrezgene","description","chromosome_name","start_position","end_position"
"20","ENSG00000006576","chr7",77855001,77855644,"chr7",77798792,77957503,0,"DMR Genes","PHTF2",57157,"putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]","7",77798792,77957503
"21","ENSG00000006611","chr11",17526362,17526945,"chr11",17493895,17544416,0,"DMR Genes","USH1C",10083,"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","11",17493895,17544416
"22","ENSG00000006611","chr11",17514622,17517348,"chr11",17493895,17544416,0,"DMR Genes","USH1C",10083,"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","11",17493895,17544416
"23","ENSG00000006638","chr19",3605029,3606419,"chr19",3594506,3606840,0,"DMR Genes","TBXA2R",6915,"thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","19",3594506,3606840
"24","ENSG00000006704","chr7",74510633,74512853,"chr7",74453790,74602604,0,"DMR Genes","GTF2IRD1",9569,"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]","7",74453790,74602604
"25","ENSG00000007047","chr19",45199860,45203746,"chr19",45079288,45305283,0,"DMR Genes","MARK4",57787,"microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","19",45079288,45305283
"26","ENSG00000007062","chr4",16066493,16067493,"chr4",15963076,16084378,0,"DMR Genes","PROM1",8842,"prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]","4",15963076,16084378
"27","ENSG00000007174","chr17",11644427,11644766,"chr17",11598431,11969748,0,"DMR Genes","DNAH9",1770,"dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]","17",11598431,11969748
"28","ENSG00000007174","chr17",11601852,11605837,"chr17",11598431,11969748,0,"DMR Genes","DNAH9",1770,"dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]","17",11598431,11969748
"29","ENSG00000007174","chr17",11822042,11822891,"chr17",11598431,11969748,0,"DMR Genes","DNAH9",1770,"dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]","17",11598431,11969748
"30","ENSG00000007237","chr17",10111851,10112211,"chr17",9910609,10198551,0,"DMR Genes","GAS7",8522,"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]","17",9910609,10198551
"31","ENSG00000007237","chr17",9974195,9974282,"chr17",9910609,10198551,0,"DMR Genes","GAS7",8522,"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]","17",9910609,10198551
"32","ENSG00000007372","chr11",31805343,31805577,"chr11",31784779,31818062,0,"DMR Genes","PAX6",5080,"paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]","11",31784779,31818062
"33","ENSG00000007402","chr3",50411511,50412557,"chr3",50362799,50504244,0,"DMR Genes","CACNA2D2",9254,"calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]","3",50362799,50504244
"34","ENSG00000008118","chr1",209585783,209585830,"chr1",209583717,209613938,0,"DMR Genes","CAMK1G",57172,"calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]","1",209583717,209613938
"35","ENSG00000008130","chr1",1758860,1759081,"chr1",1751232,1780457,0,"DMR Genes","NADK",65220,"NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","1",1751232,1780457
"36","ENSG00000008283","chr17",63437530,63438696,"chr17",63432304,63446378,0,"DMR Genes","CYB561",1534,"cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]","17",63432304,63446378
"37","ENSG00000008441","chr19",13022249,13022960,"chr19",12995608,13098796,0,"DMR Genes","NFIX",4784,"nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]","19",12995608,13098796
"38","ENSG00000008513","chr8",133459642,133460912,"chr8",133454848,133571940,0,"DMR Genes","ST3GAL1",6482,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]","8",133454848,133571940
"39","ENSG00000008513","chr8",133463975,133464263,"chr8",133454848,133571940,0,"DMR Genes","ST3GAL1",6482,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]","8",133454848,133571940
"40","ENSG00000008735","chr22",50610184,50610369,"chr22",50600685,50613981,0,"DMR Genes","MAPK8IP2",23542,"mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]","22",50600685,50613981
"41","ENSG00000009709","chr1",18653890,18657670,"chr1",18631006,18748866,0,"DMR Genes","PAX7",5081,"paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]","1",18631006,18748866
"42","ENSG00000009830","chr14",77315344,77315474,"chr14",77274956,77320884,0,"DMR Genes","POMT2",29954,"protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]","14",77274956,77320884
"43","ENSG00000010278","chr12",6202231,6203395,"chr12",6199715,6238271,0,"DMR Genes","CD9",928,"CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]","12",6199715,6238271
"44","ENSG00000010322","chr3",52490766,52491431,"chr3",52455118,52493071,0,"DMR Genes","NISCH",11188,"nischarin [Source:HGNC Symbol;Acc:HGNC:18006]","3",52455118,52493071
"45","ENSG00000011105","chr12",3097241,3098075,"chr12",3077355,3286564,0,"DMR Genes","TSPAN9",10867,"tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]","12",3077355,3286564
"46","ENSG00000011275","chr7",5673167,5673527,"chr7",5620047,5781739,0,"DMR Genes","RNF216",54476,"ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]","7",5620047,5781739
"47","ENSG00000011422","chr19",43667808,43668010,"chr19",43646095,43670547,0,"DMR Genes","PLAUR",5329,"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]","19",43646095,43670547
"48","ENSG00000012223","chr3",46464114,46464775,"chr3",46435645,46485234,0,"DMR Genes","LTF",4057,"lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]","3",46435645,46485234
"49","ENSG00000012660","chr6",53259487,53260070,"chr6",53267398,53349179,7329,"DMR Genes","ELOVL5",60481,"ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]","6",53267398,53349179
"50","ENSG00000013364","chr16",29841667,29841824,"chr16",29820394,29848039,0,"DMR Genes","MVP",9961,"major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]","16",29820394,29848039
"51","ENSG00000013364","chr16",29844775,29848688,"chr16",29820394,29848039,0,"DMR Genes","MVP",9961,"major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]","16",29820394,29848039
"52","ENSG00000013561","chr5",141958616,141958879,"chr5",141958328,141990291,0,"DMR Genes","RNF14",9604,"ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]","5",141958328,141990291
"53","ENSG00000014138","chr11",65301135,65301539,"chr11",65261762,65305589,0,"DMR Genes","POLA2",23649,"DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]","11",65261762,65305589
"54","ENSG00000015133","chr14",91380776,91381788,"chr14",91271323,91417844,0,"DMR Genes","CCDC88C",440193,"coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]","14",91271323,91417844
"55","ENSG00000015133","chr14",91408569,91408989,"chr14",91271323,91417844,0,"DMR Genes","CCDC88C",440193,"coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]","14",91271323,91417844
"56","ENSG00000015475","chr22",17772873,17773066,"chr22",17734138,17774770,0,"DMR Genes","BID",637,"BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]","22",17734138,17774770
"57","ENSG00000019144","chr11",118609406,118610349,"chr11",118606440,118658038,0,"DMR Genes","PHLDB1",23187,"pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]","11",118606440,118658038
"58","ENSG00000019485","chr11",45181753,45181860,"chr11",45095806,45235110,0,"DMR Genes","PRDM11",56981,"PR/SET domain 11 [Source:HGNC Symbol;Acc:HGNC:13996]","11",45095806,45235110
"59","ENSG00000020577","chr14",54642676,54642868,"chr14",54567097,54793315,0,"DMR Genes","SAMD4A",23034,"sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]","14",54567097,54793315
"60","ENSG00000020633","chr1",24914394,24915860,"chr1",24899511,24965121,0,"DMR Genes","RUNX3",864,"runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]","1",24899511,24965121
"61","ENSG00000021355","chr6",2846188,2846868,"chr6",2832332,2842006,-4183,"DMR Genes","SERPINB1",1992,"serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]","6",2832332,2842006
"62","ENSG00000021645","chr14",79436875,79438099,"chr14",78170373,79868290,0,"DMR Genes","NRXN3",9369,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","14",78170373,79868290
"63","ENSG00000023171","chr11",123579784,123580198,"chr11",123358428,123627774,0,"DMR Genes","GRAMD1B",57476,"GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]","11",123358428,123627774
"64","ENSG00000023171","chr11",123579784,123580198,"chr11",123358428,123627774,0,"DMR Genes","GRAMD1B",100128242,"GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]","11",123358428,123627774
"65","ENSG00000023902","chr1",150150883,150151534,"chr1",150149183,150164720,0,"DMR Genes","PLEKHO1",51177,"pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]","1",150149183,150164720
"66","ENSG00000026652","chr6",161168087,161168660,"chr6",161129979,161274061,0,"DMR Genes","AGPAT4",56895,"1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]","6",161129979,161274061
"67","ENSG00000027075","chr14",61386414,61387215,"chr14",61187559,61550976,0,"DMR Genes","PRKCH",5583,"protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]","14",61187559,61550976
"68","ENSG00000028116","chr2",57991715,57991882,"chr2",57907651,58159920,0,"DMR Genes","VRK2",7444,"vaccinia related kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]","2",57907629,58159920
"69","ENSG00000029534","chr8",41901654,41902670,"chr8",41653220,41896762,-4893,"DMR Genes","ANK1",286,"ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]","8",41653220,41896762
"70","ENSG00000031698","chr1",109230976,109231459,"chr1",109213918,109238169,0,"DMR Genes","SARS",6301,"seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537]","1",109213918,109238169
"71","ENSG00000032389","chr2",3194125,3194366,"chr2",3188925,3377882,0,"DMR Genes","EIPR1",7260,"EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]","2",3188925,3377882
"72","ENSG00000032742","chr13",20668656,20669150,"chr13",20567069,20691437,0,"DMR Genes","IFT88",8100,"intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]","13",20567069,20691437
"73","ENSG00000035664","chr15",63905396,63906928,"chr15",63907036,64072033,109,"DMR Genes","DAPK2",23604,"death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]","15",63907036,64072033
"74","ENSG00000035862","chr17",78934846,78936166,"chr17",78852977,78925387,-9460,"DMR Genes","TIMP2",7077,"TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]","17",78852977,78925387
"75","ENSG00000037280","chr5",180619329,180619651,"chr5",180601506,180649624,0,"DMR Genes","FLT4",2324,"fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]","5",180601506,180649624
"76","ENSG00000037280","chr5",180637571,180638481,"chr5",180601506,180649624,0,"DMR Genes","FLT4",2324,"fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]","5",180601506,180649624
"77","ENSG00000037280","chr5",180597030,180597624,"chr5",180601506,180649624,3883,"DMR Genes","FLT4",2324,"fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]","5",180601506,180649624
"78","ENSG00000037280","chr5",180627064,180627357,"chr5",180601506,180649624,0,"DMR Genes","FLT4",2324,"fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]","5",180601506,180649624
"79","ENSG00000038358","chr16",67881761,67882450,"chr16",67873023,67884503,0,"DMR Genes","EDC4",23644,"enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]","16",67873023,67884503
"80","ENSG00000038382","chr5",14440965,14441074,"chr5",14143702,14532128,0,"DMR Genes","TRIO",7204,"trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]","5",14143702,14532128
"81","ENSG00000038382","chr5",14286154,14287196,"chr5",14143702,14532128,0,"DMR Genes","TRIO",7204,"trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]","5",14143702,14532128
"82","ENSG00000039139","chr5",13944980,13946140,"chr5",13690331,13944543,-438,"DMR Genes","DNAH5",1767,"dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]","5",13690331,13944543
"83","ENSG00000039987","chr19",12749809,12751095,"chr19",12751702,12758458,608,"DMR Genes","BEST2",54831,"bestrophin 2 [Source:HGNC Symbol;Acc:HGNC:17107]","19",12751702,12758458
"84","ENSG00000040608","chr22",20242384,20243104,"chr22",20241415,20283246,0,"DMR Genes","RTN4R",65078,"reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]","22",20241415,20283246
"85","ENSG00000041515","chr13",108925712,108927903,"chr13",108596152,109208007,0,"DMR Genes","MYO16",23026,"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]","13",108596152,109208007
"86","ENSG00000041515","chr13",108959702,108960070,"chr13",108596152,109208007,0,"DMR Genes","MYO16",23026,"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]","13",108596152,109208007
"87","ENSG00000041982","chr9",115087091,115087270,"chr9",115019578,115118257,0,"DMR Genes","TNC",3371,"tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]","9",115019578,115118257
"88","ENSG00000042813","chr7",50068829,50069898,"chr7",49850421,50121329,0,"DMR Genes","ZPBP",11055,"zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]","7",49850421,50121329
"89","ENSG00000042832","chr8",133109423,133111622,"chr8",132866958,133134903,0,"DMR Genes","TG",7038,"thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]","8",132866958,133134903
"90","ENSG00000044459","chr9",17267856,17269084,"chr9",17134982,17503923,0,"DMR Genes","CNTLN",54875,"centlein [Source:HGNC Symbol;Acc:HGNC:23432]","9",17134982,17503923
"91","ENSG00000047578","chr16",27572875,27573053,"chr16",27550133,27780369,0,"DMR Genes","KIAA0556",23247,"KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068]","16",27550133,27780369
"92","ENSG00000048140","chr5",176653503,176654208,"chr5",176647387,176659054,0,"DMR Genes","TSPAN17",26262,"tetraspanin 17 [Source:HGNC Symbol;Acc:HGNC:13594]","5",176647387,176659054
"93","ENSG00000048740","chr10",11249737,11251858,"chr10",10798397,11336675,0,"DMR Genes","CELF2",10659,"CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]","10",10798397,11336675
"94","ENSG00000049192","chr5",65435750,65436267,"chr5",65148736,65481920,0,"DMR Genes","ADAMTS6",11174,"ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]","5",65148736,65481920
"95","ENSG00000049323","chr2",33117049,33118044,"chr2",32946972,33399509,0,"DMR Genes","LTBP1",4052,"latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]","2",32946972,33399509
"96","ENSG00000049618","chr6",157120315,157120687,"chr6",156777374,157210779,0,"DMR Genes","ARID1B",57492,"AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]","6",156776020,157210779
"97","ENSG00000050426","chr12",51048621,51048947,"chr12",51047962,51060424,0,"DMR Genes","LETMD1",25875,"LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]","12",51047962,51060424
"98","ENSG00000050555","chr9",131068102,131069277,"chr9",131009082,131094473,0,"DMR Genes","LAMC3",10319,"laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]","9",131009082,131094473
"99","ENSG00000050555","chr9",131094649,131095181,"chr9",131009082,131094473,-177,"DMR Genes","LAMC3",10319,"laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]","9",131009082,131094473
"100","ENSG00000050730","chr4",121220778,121220877,"chr4",121131408,121227466,0,"DMR Genes","TNIP3",79931,"TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]","4",121131408,121227466
"101","ENSG00000050767","chr5",178428997,178429130,"chr5",178237618,178590555,0,"DMR Genes","COL23A1",91522,"collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]","5",178237618,178590555
"102","ENSG00000050767","chr5",178534507,178536513,"chr5",178237618,178590555,0,"DMR Genes","COL23A1",91522,"collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]","5",178237618,178590555
"103","ENSG00000050767","chr5",178371699,178372226,"chr5",178237618,178590555,0,"DMR Genes","COL23A1",91522,"collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]","5",178237618,178590555
"104","ENSG00000052795","chr4",158870448,158871014,"chr4",158769138,158908049,0,"DMR Genes","FNIP2",57600,"folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]","4",158769138,158908049
"105","ENSG00000053108","chr5",133579858,133580902,"chr5",133196455,133612564,0,"DMR Genes","FSTL4",23105,"follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]","5",133196455,133612564
"106","ENSG00000053108","chr5",133338747,133339536,"chr5",133196455,133612564,0,"DMR Genes","FSTL4",23105,"follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]","5",133196455,133612564
"107","ENSG00000053108","chr5",133612742,133612880,"chr5",133196455,133612564,-179,"DMR Genes","FSTL4",23105,"follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]","5",133196455,133612564
"108","ENSG00000053108","chr5",133510812,133511403,"chr5",133196455,133612564,0,"DMR Genes","FSTL4",23105,"follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]","5",133196455,133612564
"109","ENSG00000053108","chr5",133529924,133531591,"chr5",133196455,133612564,0,"DMR Genes","FSTL4",23105,"follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]","5",133196455,133612564
"110","ENSG00000053328","chr6",110358526,110359359,"chr6",110245928,110358272,-255,"DMR Genes","METTL24",728464,"methyltransferase like 24 [Source:HGNC Symbol;Acc:HGNC:21566]","6",110245928,110358272
"111","ENSG00000053747","chr18",23920141,23922026,"chr18",23689443,23955066,0,"DMR Genes","LAMA3",3909,"laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","18",23689443,23956222
"112","ENSG00000053747","chr18",23942204,23942336,"chr18",23689443,23955066,0,"DMR Genes","LAMA3",3909,"laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","18",23689443,23956222
"113","ENSG00000054118","chr1",36218330,36218816,"chr1",36224416,36305357,5601,"DMR Genes","THRAP3",9967,"thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]","1",36224416,36305357
"114","ENSG00000054179","chr9",137050123,137050267,"chr9",137048098,137054045,0,"DMR Genes","ENTPD2",954,"ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]","9",137048098,137054045
"115","ENSG00000054267","chr1",235132144,235133295,"chr1",235131634,235328219,0,"DMR Genes","ARID4B",51742,"AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]","1",235131634,235328219
"116","ENSG00000054611","chr22",46763507,46764242,"chr22",46762617,47175699,0,"DMR Genes","TBC1D22A",25771,"TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]","22",46762617,47175699
"117","ENSG00000054611","chr22",47054246,47054719,"chr22",46762617,47175699,0,"DMR Genes","TBC1D22A",25771,"TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]","22",46762617,47175699
"118","ENSG00000054611","chr22",47089535,47090002,"chr22",46762617,47175699,0,"DMR Genes","TBC1D22A",25771,"TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]","22",46762617,47175699
"119","ENSG00000054654","chr14",64213527,64214507,"chr14",63852983,64226433,0,"DMR Genes","SYNE2",23224,"spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]","14",63852983,64226433
"120","ENSG00000055118","chr7",150973613,150974384,"chr7",150944961,150978315,0,"DMR Genes","KCNH2",3757,"potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]","7",150944961,150978315
"121","ENSG00000055118","chr7",150957982,150958050,"chr7",150944961,150978315,0,"DMR Genes","KCNH2",3757,"potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]","7",150944961,150978315
"122","ENSG00000055118","chr7",150960002,150961589,"chr7",150944961,150978315,0,"DMR Genes","KCNH2",3757,"potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]","7",150944961,150978315
"123","ENSG00000055483","chr17",78804992,78806602,"chr17",78787381,78841441,0,"DMR Genes","USP36",57602,"ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]","17",78787381,78841441
"124","ENSG00000055609","chr7",152401243,152401836,"chr7",152134922,152436005,0,"DMR Genes","KMT2C",58508,"lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]","7",152134922,152436005
"125","ENSG00000056487","chr22",44960088,44960441,"chr22",44881162,45009999,0,"DMR Genes","PHF21B",112885,"PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]","22",44881162,45009999
"126","ENSG00000056487","chr22",45014293,45014779,"chr22",44881162,45009999,-4295,"DMR Genes","PHF21B",112885,"PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]","22",44881162,45009999
"127","ENSG00000058056","chr3",179666230,179666863,"chr3",179652755,179789401,0,"DMR Genes","USP13",8975,"ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]","3",179652755,179789401
"128","ENSG00000058453","chr1",16944200,16944266,"chr1",16740273,16972979,0,"DMR Genes","CROCC",9696,"ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","1",16740273,16972979
"129","ENSG00000058453","chr1",16923240,16926925,"chr1",16740273,16972979,0,"DMR Genes","CROCC",9696,"ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]","1",16740273,16972979
